Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
765,0.105342,0.0879565
766,0.0440235,0.0378751
767,-0.523369,0.52337
768,0.174805,0.174579
769,-3.05683,3.15508
770,-3.1436,3.15145
771,-3.47307,3.49221
772,-2.08619,2.09072
773,-1.68523,1.69145
774,0.0193949,0.0182585
775,0.0154726,0.0148812
776,-3.86863,3.86883
777,-0.967797,0.967798
778,-1.87291,1.88766
779,0.0379379,0.035578
780,-1.53439,1.53685
781,0.0564839,0.0564839
782,-0.155256,0.365173
783,-2.31584,2.37756
784,-1.71899,1.75783
785,-2.89438,2.99788
786,-0.852832,0.926555
787,-2.90666,2.92646
788,-0.999479,1.09507
789,0.0202492,0.0202487
790,-0.62176,0.700441
791,-2.62808,2.81272
792,-1.72719,1.84961
793,0.196378,0.167869
794,-1.97604,2.04061
795,-2.93458,3.0401
796,-2.70206,2.70179
797,-2.99368,2.99368
798,-2.31646,2.31646
799,-1.38696,1.38695
800,-1.70281,1.70281
801,-2.43837,2.43837
802,-0.217013,0.216944
803,-0.830276,0.830276
804,-2.31646,2.31646
805,-0.968672,0.968552
806,-3.49169,3.49169
807,-1.0185,1.0185
808,-1.31763,1.3176
809,-0.143264,0.143264
810,-0.131022,0.131022
811,-1.32694,1.31739
812,-2.97069,2.84277
813,-2.09336,2.09053
814,-2.99924,2.99355
815,-1.31816,1.31759
816,-1.31722,1.31761
817,-2.56764,2.56669
818,-0.779588,0.713447
819,-3.15755,3.1511
820,-2.5679,2.56668
821,-2.48572,1.96501
822,-2.58277,2.56635
823,-2.22872,2.09165
824,-1.70736,1.7027
825,-3.04533,2.99286
826,-0.0136087,0.0130269
827,-0.991708,0.981419
828,-0.167185,0.166389
829,-0.0263418,0.0212952
830,-0.0508279,0.035526
831,-0.00603618,0.00603618
832,-0.242851,0.242463
833,-2.40795,2.31592
834,-1.66105e-08,1.56407e-08
835,-0.00353103,0.00343204
836,-2.16854,1.82144
837,-0.315288,0.220992
838,-5.9688e-05,5.9688e-05
839,-6.07714e-06,5.15892e-06
840,-0.0872404,0.061081
841,-0.788095,0.788095
842,-0.401022,0.404668
843,0.0163571,0.029996
844,-1.88123,1.91819
845,-1.65507,1.61626
846,0.00276678,0.00273872
