Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
1035,1570.58,40.6758
1036,1620.1,14.7929
1037,1626.75,19.7858
1038,1545.15,62.9511
1039,1506.12,61.6517
1040,1536.04,36.8379
1041,1601.49,22.3812
1042,1585.37,39.2836
1043,1550.17,47.5357
1044,1556.47,44.0366
1045,1551.38,40.34
1046,1494.65,56.1723
1047,1511.44,62.9624
1048,1527.01,52.967
1049,1600.67,28.4616
1050,1502.64,58.1084
1051,1596.9,33.1138
1052,1606.62,26.2172
1053,1530.76,61.4007
1054,1521.45,45.0699
1055,1581.75,31.488
1056,1529.11,48.155
1057,1556.87,43.452
1058,1577.91,62.0764
1059,1455.82,62.1006
1060,1525.04,54.4991
1061,1566.56,46.5258
1062,1609.63,25.9328
1063,1579.6,35.1518
1064,1639.78,12.8545
1065,1501.67,55.2482
1066,1601.51,30.1274
1067,1591.21,32.569
1068,1547.34,65.904
1069,1643.52,14.2313
1070,1508.92,72.9903
1071,1519.5,66.9735
1072,1580.79,55.3234
1073,1463.94,63.5879
1074,1509.92,63.897
1075,1509.01,63.2872
1076,1578.65,43.2834
1077,1498.21,68.3827
1078,1589.75,40.4871
1079,1557.1,41.4659
1080,1563.88,54.8903
1081,1603.99,39.7413
1082,1533.46,71.2582
1083,1540.24,63.9363
1084,1532.56,51.7718
1085,1482.91,72.3887
1086,1476.05,55.7837
1087,1499.14,62.7643
1088,1487.86,74.7257
1089,1573.07,39.9093
1090,1614.65,26.2926
1091,1528.85,51.7071
1092,1460.66,75.5666
1093,1564.96,40.1973
1094,1518.56,51.1561
1095,1522.02,59.3551
1096,1515.47,64.6252
1097,1544.73,54.6215
1098,1534.95,59.9227
1099,1564.33,50.3854
1100,1494.22,56.13
1101,1482.28,58.2425
1102,1581.76,41.8988
1103,1452.45,90.1072
1104,1502.3,71.1476
1105,1599.43,31.8374
1106,1646.49,12.9898
1107,1512.12,50.9638
1108,1455.62,79.4821
1109,1517.24,78.0771
1110,1535.68,65.2697
1111,1521.42,54.0412
1112,1608.78,30.7962
1113,1580.74,41.0532
1114,1544.51,55.7715
1115,1520.03,56.0399
1116,1489.62,72.5166
1117,1546.26,40.9839
1118,1566.26,55.11
1119,1450.68,74.5138
1120,1568.03,45.0651
1121,1534.28,42.0636
1122,1564.5,40.3597
1123,1510.61,64.7819
1124,1497.09,68.0645
1125,1538.24,62.9447
1126,1592.7,37.584
1127,1590.87,29.5136
1128,1469.7,73.8462
1129,1602.28,30.5578
1130,1520.39,70.2986
1131,1579.58,41.8908
1132,1487.04,70.9649
1133,1597.32,32.8282
1134,1502.78,49.8134
1135,1573,33.6402
1136,1577.83,40.6752
1137,1510.28,77.2836
1138,1558.42,60.0473
1139,1521.86,62.3591
1140,1556.01,57.5037
1141,1591.91,35.977
1142,1624.51,21.2767
1143,1583.01,52.2425
1144,1620.37,18.616
1145,1554.1,59.6876
1146,1611.07,32.2592
1147,1549.72,61.5889
1148,1624.11,24.6171
1149,1605.13,33.1936
1150,1627.2,18.9457
1151,1637.01,17.1645
1152,1598.15,46.8101
1153,1619.53,24.9966
1154,1554.04,57.7384
1155,1610.69,31.845
1156,1607.68,32.9044
